# Glossary in tab-separated format -*- coding: utf-8 -*-
open-source	código aberto
source code	código-fonte
hands-off approach	abordagem sem interferência
feature	recurso
elapsed	decorrido
refresh	atualizar
folder	pasta
functionality	recurso
content	conteúdo
Website	Site
design	design
OmegaT	OmegaT
home page	página inicial
mailing lists	listas de discussão
mailing list	lista de discussão
language	idioma
software	programa
online	on-line
tool	ferramenta
place holders	espaços reservados
placeholders	espaços reservados
subfolder	subpasta
folder	pasta
bug	erro
code	código
requirement	requisito
machine translation engine	mecanismo de tradução automática
more on that	mais informações
directions	instruções
GNU General Public License	Licença Pública Geral (GNU)
non-breakable space	espaço inseparável
match	correspondência
Match statistics	Estatísticas das correspondências
text	texto
warning	aviso
translation memories	memórias de tradução
project files	arquivos de projeto
user interface	interface do usuário
shortcut	atalho
properties	propriedades
glossary	glossário
auto-text	autotexto
possible	possível
for instance	por exemplo
Editor pane	painel do editor
fuzzy matches	correspondências parciais
fuzzy match	correspondência parcial
tokenizers plug-in	plugin de tokenizers
HowTo	Instruções
How To	Instruções
tokenizers plug-in	plugin de tokenizers
Spelling dictionaries	Dicionários ortográficos
set	definir; conjunto
source text	texto de origem
target segment	segmento de destino
source segment	segmento de origem
application	ferramenta
Standard Version	Versão Estável
Latest Version	Última versão
place holder	espaço reservado
script	script
settings	configurações
user interface	interface de usuário
Instant Start guide	guia de Início Rápido
readme	leiame
source	de origem
target	de destino
Commit	Confirmar
commit	confirmação
Pinpoint Align	Alinhamento distante
enable	habilitar
disable	desabilitar
sensitive	confidencial
Master Password	Senha mestra
scope	escopo
save	salvar	como verbo, "salvar", como substantivo, "gravação"
Trados uncleaned RTF	RFT bilíngue com tags do Trados
Utilities	Utilitários
one-to-many matching	correspondência única ou múltipla
saving	gravação	como verbo, "salvar", como substantivo, "gravação"uncleaned files
highlighted	destacado
OmegaT project	projeto OmegaT
versioning system	sistemas de versionamento
Commit	Submeter	SNV related | https://tortoisesvn.net/docs/release/TortoiseSVN_pt_BR/index.html
Services	Serviços	Quando se referir ao app do macOS
arguments	parâmetros
translation engines	ferramentas de tradução automática
EU Directorate-General for Translation	Direção-Geral da Tradução da Comissão Europeia
stemming	lematização
Heapwise	Em pilha
Parsewise	Com análise
Forward-Backward	Para frente-para trás
Project Files	Arquivos do projeto	Quando se refere ao termo presente no menu Projeto.
Legacy version	versão legada
header	cabeçalho
Add Script	Adicionar script
Notarized	Assinada
Unsigned	Não assinada
project	projeto
file	arquivo
Search	Pesquisar	OmegaTLoc
Segment	segmento
files	arquivos
issue	problema
hide	ocultar
